Sun Jun 21 18:52:34 +0000 2015	Gene mutation in Ebola outbreak provides epidemiological insight http://t.co/KRBv1TBHw6	
Sun Jun 21 18:52:36 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success http://t.co/Db0EPBb3CG	
Sun Jun 21 18:52:40 +0000 2015	Wauw! Panace bestaat! https://t.co/Pg1SGSxXbo	
Sun Jun 21 18:52:59 +0000 2015	Ebola http://t.co/hHIFDwYpSP   #ebola #ebolaoutbreak #ebolanews	
Sun Jun 21 18:52:59 +0000 2015	RT @DawgzFr: Kim Jong-un prétend avoir trouvé le remède contre le sida, ebola, le cancer etc... ⇩http://t.co/NKQUbUkNL1 http://t.co/TEIDUe…	
Sun Jun 21 18:52:59 +0000 2015	Thomas Duncan's family questions his Ebola treatment http://t.co/e0zk43giGy   #ebola #ebolaoutbreak #ebolanews	
Sun Jun 21 18:53:00 +0000 2015	Can tweets reveal the mood of the #Ebola outbreak? http://t.co/aQjxACRWhO   #ebola #ebolaoutbreak #ebolanews	
Sun Jun 21 18:53:03 +0000 2015	@Bledardeur " Longjumeeau" c'est quoi ça, le nom de ta ville elle a ebola stp	
Sun Jun 21 18:53:06 +0000 2015	RT @GRADIDUR_: Le Lacoste je crois il a ebola 😂😂😂😂😂 http://t.co/5h3i4U2NDc	
Sun Jun 21 18:53:08 +0000 2015	Tutta quest'ebola,ansia,,il nazzismo,l'ebraismo che mi sta salendo.ragazzi io non posso farcela davvero.	
Sun Jun 21 18:53:29 +0000 2015	✅✅"@Iam_Ril3y: Ebola = population control 💀"	
Sun Jun 21 18:53:47 +0000 2015	When you test negative for Ebola https://t.co/WY4RLXrxBb	
Sun Jun 21 18:54:07 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/eOzyrzgldh http://t.co/dDDDIgHvTi	
Sun Jun 21 18:54:22 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight ... - http://t.co/kYRm6WDWvS #Flu #viruses #virus #disease http://t.co/Pc6uq3B1EA	
Sun Jun 21 18:54:26 +0000 2015	RT @MitSnyder: @Patriotic_Me  WH already bringing in muslims by thousands &amp; ppl from Ebola stricken countries. If this passes he will finis…	
Sun Jun 21 18:54:34 +0000 2015	http://t.co/SSrOSRbQae -&gt; Gene Mapping Yields Clues to Recent Ebola Outbreak	
Sun Jun 21 18:54:39 +0000 2015	Focus on our demands, UNZALARU - http://t.co/Z0t24yMFtF #ebola	
Sun Jun 21 18:54:40 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success - http://t.co/Zd2n5xL9Sn #ebola	
Sun Jun 21 18:54:48 +0000 2015	wired Facts about Ebola Virus Treatment Must See =&gt; http://t.co/vmeVKsECIB http://t.co/LjOep2eAXC	
Sun Jun 21 18:55:02 +0000 2015	RT @neomagazin: Nordkorea hat einen Impfstoff gegen Aids, Ebola UND Krebs gefunden! Außerdem hilft er gegen Montag und löscht die Aktien-Ap…	
Sun Jun 21 18:55:09 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/hirENgjGab http://t.co/8MYaXCjwCK	
Sun Jun 21 18:55:16 +0000 2015	RT @micromunidad: La segunda parte del capítulo sobre el ebola. Que sirva de aperitivo antes del #microMOOC de esta noche @microBIOblog htt…	
Sun Jun 21 18:55:22 +0000 2015	North Korea Miracle Drug: Kim Jong-Un Claims Drug Cures AIDS, Ebola, And Cancer	
Sun Jun 21 18:55:26 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success - CTV News: CTV… http://t.co/hWc3xhjMV9	
Sun Jun 21 18:55:30 +0000 2015	@AFCOllie @OneLilChilean Bellerin was getting sent to Tesco by Ashley Young whilst Debuchy was out fighting Ebola sort yourself out	
Sun Jun 21 18:55:30 +0000 2015	RT @DawgzFr: Kim Jong-un prétend avoir trouvé le remède contre le sida, ebola, le cancer etc... ⇩http://t.co/NKQUbUkNL1 http://t.co/TEIDUe…	
Sun Jun 21 18:55:44 +0000 2015	INFH BLXXY 210615205514 Corea del Norte vende una cura para el #ebola,el MERS o el sida http://t.co/0I286vOUdj	
Sun Jun 21 18:55:50 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/3gQi1iPrAU http://t.co/OMp8pByEcC	
Sun Jun 21 18:56:03 +0000 2015	Ghana Ebola trials will not be compromised – WHO http://t.co/N95WqG1Uiu #Ghana #News #enAfrikinfosCom	
Sun Jun 21 18:56:04 +0000 2015	.@bemjar @ActualidadRT Este es  http://t.co/rZ8c4NSOFg	
Sun Jun 21 18:56:04 +0000 2015	In a far off galaxy... Ebola stupid math teachers could be magical ball might be never before seen @jadensmith	
Sun Jun 21 18:56:12 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/Hp9lb8Rpf5 http://t.co/65BM6NomqY	
Sun Jun 21 18:56:15 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/sNVy8sxHFe http://t.co/Y6Qiqjq2ok	
Sun Jun 21 18:56:22 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/BGPOytB7lN http://t.co/UUkSwBzuJK	
Sun Jun 21 18:56:31 +0000 2015	RT @SponggeMemory: "Hey Patrick what am I?""ebola" http://t.co/i7QMcfzYH8	
Sun Jun 21 18:56:37 +0000 2015	Kim Jong-Un Reportedly Has A Miracle Drug That Can Cure Ebola, AIDS, And MERS http://t.co/VJYiz5fKFb	
Sun Jun 21 18:56:47 +0000 2015	N. Korea says its wonder drug can cure Ebola, AIDS, MERS &amp; SARS http://t.co/QfigVSrn8g	
Sun Jun 21 18:56:49 +0000 2015	Madó cera gente su twitter fa venire l'ebola.EBOLAE B O L A	
Sun Jun 21 18:56:55 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/U32wfqvuIV http://t.co/JLrj7BDtrq	
Sun Jun 21 18:56:57 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/njy9chFeO0 http://t.co/SVrOYVDTux	
Sun Jun 21 18:56:58 +0000 2015	RT @rachel_rossell: "Thot syndrome is hitting like ebola"	
Sun Jun 21 18:56:59 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 18:57:02 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/robuMovaoh http://t.co/I2GsWcDePu	
Sun Jun 21 18:57:05 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/a4BrfshLAa http://t.co/E95FBK9Dpu	
Sun Jun 21 18:57:19 +0000 2015	RT @WHO: Dr Ireland, from #Liberia, survived #Ebola. Now, he trains a new generation of health workers http://t.co/zjO2ZgGrFP http://t.co/o…	
Sun Jun 21 18:57:32 +0000 2015	@eat2beatdisease Genome studies show how Ebola spread initially http://t.co/TATt7mLh9Q	
Sun Jun 21 18:57:33 +0000 2015	RT @UKenyatta: I hosted Health workers who are back from the Ebola front-line for breakfast this morning at State House, Nairobi. http://t.…	
Sun Jun 21 18:57:43 +0000 2015	@IanDarke didn't see the piece but surely a club like City who need harmony in dressing room urgently need Sterling like a dose of Ebola?	
Sun Jun 21 18:57:49 +0000 2015	Asi es, en africa venden el virus del Ebola porque todos lo quieren tener. https://t.co/cEWiS6mMcf	
Sun Jun 21 18:57:49 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 18:57:53 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/Rlh3iS9t86 http://t.co/zplX8IrBDt	
Sun Jun 21 18:58:04 +0000 2015	Ebola is hurting West African economies: http://t.co/DStlGxcV1m via @YouTube	
Sun Jun 21 18:58:05 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/h53dx27wMr http://t.co/bLkuansYUi	
Sun Jun 21 18:58:06 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/cVJf3FaaZI http://t.co/WJbt56GvJ7	
Sun Jun 21 18:58:16 +0000 2015	RT @20Minutes: La Corée du Nord affirme détenir un remède miracle au Sida, au Sras, et à Ebola http://t.co/JWkzqqGM4b http://t.co/msNlA072ru	
Sun Jun 21 18:58:31 +0000 2015	RT @rachel_rossell: "Thot syndrome is hitting like ebola"	
Sun Jun 21 18:58:44 +0000 2015	I wanna find this person and punch them in the face  https://t.co/9BQPj9ZihY	
Sun Jun 21 18:58:49 +0000 2015	Aussie Cricketers Bowled Out By Schoolboys http://t.co/HuagtKtFXJ #skynews #ebola #iphonewallpaper #hdwallpaper	
Sun Jun 21 18:58:50 +0000 2015	Surfers Climb Aboard For World Record Attempt http://t.co/HuagtKtFXJ #skynews #ebola #iphonewallpaper #hdwallpaper	
Sun Jun 21 18:58:51 +0000 2015	Welcome to Date360's Blog: North Korea claims not to only have a cure for AIDS, but also Cancer &amp; Ebola http://t.co/tGz1Ao7rvk	
Sun Jun 21 18:58:52 +0000 2015	Welcome to Date360's Blog: North Korea claims not to only have a cure for AIDS, but also Cancer &amp; Ebola http://t.co/IhfmzgVznc	
Sun Jun 21 18:58:54 +0000 2015	Enzo donates $1 to ebola aid for every matcha bag sold http://t.co/Kzzh14pO6E	
Sun Jun 21 18:58:59 +0000 2015	RT @zainsfenty: MDRRJRKER C LE PIRE VINE KE G JMS VU APRÈS CEUX DE NASH EBOLA https://t.co/3gI3RWav3M	
Sun Jun 21 18:59:06 +0000 2015	RT @SexualGlF: I would rather get Ebola then receive this http://t.co/mewcdXjkWF	
Sun Jun 21 18:59:11 +0000 2015	517 Military Field Manuals Collection DVD (US) medical, tactics Ebola Fema Army http://t.co/sXs55vyqty http://t.co/eLgbB0m6nC	
Sun Jun 21 18:59:15 +0000 2015	Retweet to help young enzo fight ebola #fightebola #hope #socialcompany #matcha http://t.co/Kzzh14pO6E	
Sun Jun 21 18:59:54 +0000 2015	"Kim Jong-un claims to have cured Aids, Ebola and cancer with single miracle drug" http://t.co/Kr9OR21XhE	
Sun Jun 21 19:00:05 +0000 2015	The Ebola Hoax Was "In The Cards" from 1995 Illuminati Card Game. Check out http://t.co/FgEb7x9oBh. #ebola http://t.co/GWViY3iZTV	
Sun Jun 21 19:00:09 +0000 2015	Did the Ancient Greeks Get Ebola? http://t.co/iPqSB0bwNe http://t.co/vqNz1yxCcd	
Sun Jun 21 19:00:13 +0000 2015	Enzo gave away $2000 to action aid ebola!! Well done!  https://t.co/Kzzh14pO6E	
Sun Jun 21 19:00:21 +0000 2015	Enzo donates $1 to ebola aid for every matcha bag sold http://t.co/LUAu5VlPuo	
Sun Jun 21 19:00:23 +0000 2015	Kim Jong-un Has Cured AIDS, Cancer, and Ebola (According to Kim Jong-un) http://t.co/QMOwq57Reo	
Sun Jun 21 19:00:38 +0000 2015	Kweku Baako Says MP’s Truly Displayed Ignorance When Commenting On Ebola Trial Issue http://t.co/yln4DgFkGh	
Sun Jun 21 19:00:42 +0000 2015	RT @mitch_hamalwa: Where are these stats from?"@ToxiqOfficial: "OVER 15,000 Luanshya residents infected withElephantiasis," tutineko AIDS …	
