Sun Jun 21 19:37:47 +0000 2015	RT @UmaruFofana: In search of the start of #Ebola in #SierraLeone with videographer @IdrissKpange. http://t.co/c0PtP3Pc05	
Sun Jun 21 19:37:47 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success http://t.co/Fp0PTauaGK	
Sun Jun 21 19:37:52 +0000 2015	RT @CP24: With new Ebola infections down, vaccine trials fight odds of successhttp://t.co/Ns6A9nl8h1 http://t.co/lrRNVVXZnM	
Sun Jun 21 19:38:16 +0000 2015	RT @WorldBank: #Ebola update: #SierraLeone’s economic situation continues to improve, but still hasn’t fully recovered. New report: http://…	
Sun Jun 21 19:38:56 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success - CTV News: CTV NewsWith low numbers... http://t.co/BmJKcXDKuz	
Sun Jun 21 19:38:57 +0000 2015	RT @CP24: With new Ebola infections down, vaccine trials fight odds of successhttp://t.co/Ns6A9nl8h1 http://t.co/lrRNVVXZnM	
Sun Jun 21 19:39:18 +0000 2015	RT @LaurenCowley4: Ever wondered what would challenge you when sequencing #Ebola in the field on a #MinION? Read my blog post http://t.co/v…	
Sun Jun 21 19:39:19 +0000 2015	@Richie_Cypher scientists say that by simply watching a oral-B commercial, a person is cure of ebola	
Sun Jun 21 19:39:24 +0000 2015	! Ebola crisis likely to last a year, says expert on http://t.co/LvYJiqZqs2	
Sun Jun 21 19:39:25 +0000 2015	This dude told his kid he had Ebola  http://t.co/dfScPQ2cXx	
Sun Jun 21 19:39:37 +0000 2015	! US lab worker monitored for Ebola on http://t.co/5POW6DW1En	
Sun Jun 21 19:39:49 +0000 2015	RT @UmaruFofana: In search of the start of #Ebola in #SierraLeone with videographer @IdrissKpange. http://t.co/c0PtP3Pc05	
Sun Jun 21 19:40:17 +0000 2015	RT @citizentvkenya: #SundayLive Relief as 155 volunteers return home safely after battling Ebola in Sierra Leone and Liberia http://t.co/Ry…	
Sun Jun 21 19:40:23 +0000 2015	Tekmira stops adding new patients to study of drug targeting Ebola strain behind outbreak http://t.co/kCLyOW2hD8	
Sun Jun 21 19:40:33 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:40:40 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success - CTV News: CTV NewsWith low numbers... http://t.co/wxMlRwEFw8	
Sun Jun 21 19:40:41 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success - CTV News: CTV NewsWith low numbers... http://t.co/WTfKn1THoQ	
Sun Jun 21 19:40:45 +0000 2015	Ebola vaccine trials struggle for answers http://t.co/fgsqrluGF1 #Ebola	
Sun Jun 21 19:40:49 +0000 2015	tem ebola esse fdp	
Sun Jun 21 19:40:57 +0000 2015	RT @NaoSeiQuemFui1: tem ebola esse fdp	
Sun Jun 21 19:41:05 +0000 2015	Ebola e AIDS no sangue aqui.	
Sun Jun 21 19:41:13 +0000 2015	woke up with ebola	
Sun Jun 21 19:41:14 +0000 2015	Ebola✋🔫	
Sun Jun 21 19:41:24 +0000 2015	RT @LaurenCowley4: Ever wondered what would challenge you when sequencing #Ebola in the field on a #MinION? Read my blog post http://t.co/v…	
Sun Jun 21 19:41:27 +0000 2015	@Richie_Cypher yeah, you dont see anymore ebola report dont you?	
Sun Jun 21 19:41:32 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:41:35 +0000 2015	RT @abdallah_haman: Tu veux mop y'a hépatite,  tu veux fom y'a sida, tu veux caresser y'a Ebola, Maintenant tu veux te balader ya Boko hara…	
Sun Jun 21 19:41:39 +0000 2015	RT @LaurenCowley4: Ever wondered what would challenge you when sequencing #Ebola in the field on a #MinION? Read my blog post http://t.co/v…	
Sun Jun 21 19:42:04 +0000 2015	RT @AfricaAgstEbola: Together we can defeat Ebola #Africaagainstebola @EbolaAlert @AmplifiedR  https://t.co/J3PjQnHGyr	
Sun Jun 21 19:42:11 +0000 2015	Found cut audio relating to ebola in GTAV files	
Sun Jun 21 19:42:13 +0000 2015	RT @bizzlerauhlollg: 'Tipi di persone su Whatsapp'IL LUNATICO"Ciao"*rispondi*"Sono incazzato, non scrivermi"CHE EBOLA, MADO'	
Sun Jun 21 19:42:19 +0000 2015	RT @thoughtfulsnort: Remember before Ebola, when we just had bola?  Technology changes everything.	
Sun Jun 21 19:42:40 +0000 2015	@nozoerin a ebola também huashuss	
Sun Jun 21 19:42:42 +0000 2015	RT @NaoSeiQuemFui1: tem ebola esse fdp	
Sun Jun 21 19:42:48 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:43:01 +0000 2015	The VICE Guide to Right Now: Kim Jong-un Says He Has Cured AIDS, Ebola and Cancer http://t.co/JLEiv4qK56 http://t.co/25BEwZkklw	
Sun Jun 21 19:43:04 +0000 2015	Across the street is a school that, in August 2014, became the focus of #Liberia's Ebola crisis. It was being used… http://t.co/99fBSIko4j	
Sun Jun 21 19:43:06 +0000 2015	@blueboi1987 ebola that lid. I'll take the Lego mate. Safe journey sweet Prince x	
Sun Jun 21 19:43:12 +0000 2015	RT @FxckMmrs: Nadie se quiere acercar a mi, ni siquiera el Ebola	
Sun Jun 21 19:43:41 +0000 2015	RT @LaurenCowley4: Ever wondered what would challenge you when sequencing #Ebola in the field on a #MinION? Read my blog post http://t.co/v…	
Sun Jun 21 19:43:44 +0000 2015	N. Korea says its wonder drug can cure Ebola, AIDS, MERS &amp; SARS http://t.co/nPvDxDEFfJ	
Sun Jun 21 19:43:51 +0000 2015	@Richie_Cypher theres no more ebola meaning no more oral-B commercials	
Sun Jun 21 19:44:01 +0000 2015	RT @brianscohen: Written Using @Authorea @openscience collaborative writing platform - Genome Studies Show How Ebola Spread Initially  http…	
Sun Jun 21 19:44:08 +0000 2015	There's only one problem with King Jong-un's  miracle cure for Ebola and AidsThe tablet can only be taken on a full stomach.	
Sun Jun 21 19:44:14 +0000 2015	With low numbers of new cases, #Ebola vaccine #trials fight odds of success http://t.co/vSGSBlKKdf http://t.co/DUgwQhTF0A	
Sun Jun 21 19:44:22 +0000 2015	ORAL-B CURED EBOLA	
Sun Jun 21 19:44:26 +0000 2015	! Experimental drug for Ebola patient Pauline Cafferkey on http://t.co/Jx3CCzi636	
Sun Jun 21 19:44:29 +0000 2015	RT @HelenBranswell: With #Ebola case counts (thankfully) dropping so low, chances are slim Ebola vaccine trials will prove efficacy. http:/…	
Sun Jun 21 19:44:30 +0000 2015	RT @abdallah_haman: Tu veux mop y'a hépatite,  tu veux fom y'a sida, tu veux caresser y'a Ebola, Maintenant tu veux te balader ya Boko hara…	
Sun Jun 21 19:44:45 +0000 2015	RT @FxckMmrs: Nadie se quiere acercar a mi, ni siquiera el Ebola	
Sun Jun 21 19:45:07 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success http://t.co/E40zwlXb9u http://t.co/Sa1tRINTED	
Sun Jun 21 19:45:18 +0000 2015	Beğenmediğiniz K.Kore'de Ebola, Kanser, HİV'e karşı koruyucu etken madde bulmuşlar..Biz anca koalisyon mu korelasyon mu diyek :((	
Sun Jun 21 19:45:20 +0000 2015	RT @bizzlerauhlollg: 'Tipi di persone su Whatsapp'quelli che inviano catene a go go sono l'ebola, E B O L A.	
Sun Jun 21 19:45:23 +0000 2015	Me dio Ebola al ver esos Comentarios.	
Sun Jun 21 19:45:26 +0000 2015	Liberians still face travel headaches even after Ebola http://t.co/JyOImekOXS	
Sun Jun 21 19:46:00 +0000 2015	North Korea 'cures Aids, cancer and Ebola with single wonder drug' http://t.co/caHGJSM1c5	
Sun Jun 21 19:46:07 +0000 2015	Enzo donates $1 to ebola aid for every matcha bag sold http://t.co/0aDTCiqFq8	
Sun Jun 21 19:46:07 +0000 2015	@CunterburyTales you'll be sorry when it turns out to be Ebola 🙈	
Sun Jun 21 19:46:16 +0000 2015	RT @welt: Wunder über Wunder ... Kim Jong-un besiegt Mers, Ebola, Aids und Sars http://t.co/QdWPzLpb3N http://t.co/PRrihVULOz	
Sun Jun 21 19:46:21 +0000 2015	! First Ebola boy likely infected by playing in bat tree on http://t.co/xahYRCxNTK	
Sun Jun 21 19:46:32 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:46:33 +0000 2015	mi evitano tutti, nemmeno avessi l'ebola	
Sun Jun 21 19:46:41 +0000 2015	http://t.co/HCFc8KNzOl RI Dept. of Health no longer monitoring travelers from Liberia for ebola http://t.co/r9IMAXiVJ5 #AmericanIdol	
Sun Jun 21 19:46:56 +0000 2015	RT @fixlwt: mi evitano tutti, nemmeno avessi l'ebola	
Sun Jun 21 19:46:58 +0000 2015	Fantastisch nieuws! - 'Noord-Korea vindt medicijn uit tegen kanker, aids, ebola en MERS. :: info-over-kanker http://t.co/uv4zEN2jkj'	
Sun Jun 21 19:47:05 +0000 2015	When the only thing you would share with a mf is Ebola 😂😂	
Sun Jun 21 19:47:12 +0000 2015	'Plague Inc.' Has Raised Over $76,000 for Ebola http://t.co/0yG9hlWhPW	
Sun Jun 21 19:47:14 +0000 2015	#MissedThis? Juliet Ibrahim Releases Ebola Awareness Video  http://t.co/RlHxb2jLAQ  #ebola #julietibrahim	
Sun Jun 21 19:47:16 +0000 2015	RT @LaurenCowley4: Ever wondered what would challenge you when sequencing #Ebola in the field on a #MinION? Read my blog post http://t.co/v…	
Sun Jun 21 19:47:19 +0000 2015	Promising experimental Ebola drug found to be ineffective http://t.co/AnxXY7SoQI http://t.co/0ao2BVbcfI	
Sun Jun 21 19:47:20 +0000 2015	RT @VoceSabiaTweets: O Batman lutou contra o ebola nos anos 90 e o Robin quase morreu.	
Sun Jun 21 19:47:34 +0000 2015	Kim Jung-un cured aids ebola and cancer with ONE drug, hero ❤️ http://t.co/JIkLb45eOh	
Sun Jun 21 19:47:39 +0000 2015	RT @lovvesaraa: Kim Jung-un cured aids ebola and cancer with ONE drug, hero ❤️ http://t.co/JIkLb45eOh	
Sun Jun 21 19:47:49 +0000 2015	Enzo gave away $2000 to action aid ebola!! Well done!  https://t.co/0aDTCiqFq8	
Sun Jun 21 19:47:52 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:47:55 +0000 2015	Kenya reaps big from key role in fight against Ebola http://t.co/S6hmxKctt3	
Sun Jun 21 19:48:03 +0000 2015	RT @TravelnKids: The VICE Guide to Right Now: Kim Jong-un Says He Has Cured AIDS, Ebola and Cancer http://t.co/JLEiv4qK56 http://t.co/25BEw…	
Sun Jun 21 19:48:16 +0000 2015	! UK Ebola nurse Pauline Cafferkey ′in critical condition′ on http://t.co/3mzYL9uJR2	
Sun Jun 21 19:48:23 +0000 2015	Run Ebola Runhttps://t.co/hoIseoxvQo	
Sun Jun 21 19:48:31 +0000 2015	Enzo gave away $2000 to action aid ebola!! Well done!  https://t.co/XBcDcBtil3	
Sun Jun 21 19:48:59 +0000 2015	RT @lovvesaraa: Kim Jung-un cured aids ebola and cancer with ONE drug, hero ❤️ http://t.co/JIkLb45eOh	
Sun Jun 21 19:49:01 +0000 2015	Ebola vaccine trials to start in Liberia late January http://t.co/1oVj4LgJrd	
Sun Jun 21 19:49:03 +0000 2015	Channel News AsiaNorth Korea says it has 'cure' for MERS, Ebola, AidsChannel News AsiaThe drug, known as Kumdang-2,… http://t.co/ngKJsFSOi2	
Sun Jun 21 19:49:07 +0000 2015	RT @ThaFackinDaddy: There's only one problem with King Jong-un's  miracle cure for Ebola and AidsThe tablet can only be taken on a full s…	
Sun Jun 21 19:49:09 +0000 2015	EITA CUZAUM, ME MULTIPLIQUEI TIPO EBOLA NO SEU CORPO http://t.co/StLdXsumse	
Sun Jun 21 19:49:20 +0000 2015	RT @bizzlerauhlollg: 'Tipi di persone su Whatsapp'quelli che inviano catene a go go sono l'ebola, E B O L A.	
Sun Jun 21 19:49:21 +0000 2015	Kenya reaps big from key role in fight against Ebola http://t.co/ogf9xQlJpk #Kenya #Africa	
Sun Jun 21 19:49:28 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:49:47 +0000 2015	RT @DrFriedenCDC: Honored to welcome #Ebola responders &amp; their families to CDC today for Family Appreciation Day. Very grateful for their s…	
Sun Jun 21 19:49:57 +0000 2015	Ebola vaccine trials struggle for answers http://t.co/nt8HQDNrga	
Sun Jun 21 19:50:06 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:50:09 +0000 2015	! Proper arrangements for Ebola checks in place, says PM on http://t.co/OOLcpA3ji2	
Sun Jun 21 19:50:13 +0000 2015	RT @senantoniorazzi: #Corea del #Nord "Abbiamo la cura per Aids, Ebola e cancro" http://t.co/Z7HHGLbGzI via @HuffPostItalia	
Sun Jun 21 19:50:13 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success - CTV News http://t.co/oc9KvN6wEi	
Sun Jun 21 19:50:14 +0000 2015	For average Americans the risk of contracting #Ebola is low #healthcare http://t.co/QAGGRNrykd	
Sun Jun 21 19:50:17 +0000 2015	! UK Ebola nurse Pauline Cafferkey has ′stabilised′ on http://t.co/JcvarmS01s	
Sun Jun 21 19:50:28 +0000 2015	RT @malkamain: Nearly dies, undergoes mutation, increases in strength: The #Ebola Origin Story @TODAYOnline @MicrobesInfect | http://t.co/C…	
Sun Jun 21 19:50:32 +0000 2015	http://t.co/vzOb87bumN	
Sun Jun 21 19:50:45 +0000 2015	RT @LaurenCowley4: Ever wondered what would challenge you when sequencing #Ebola in the field on a #MinION? Read my blog post http://t.co/v…	
Sun Jun 21 19:50:54 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:50:58 +0000 2015	RT @Rykudow: EITA CUZAUM, ME MULTIPLIQUEI TIPO EBOLA NO SEU CORPO http://t.co/StLdXsumse	
Sun Jun 21 19:51:20 +0000 2015	How To Design a Foolproof Family Survival Plan Against Ebola In Less Than A Week - http://t.co/M49fpkUG77	
Sun Jun 21 19:51:20 +0000 2015	How To Design a Foolproof Family Survival Plan Against Ebola In 3 Days Or Less ... http://t.co/ueBoTCEV9g	
Sun Jun 21 19:51:21 +0000 2015	How To Make a Foolproof Family Survival Plan Against Ebola In Less Than A Week - http://t.co/yom5aoOeNq	
Sun Jun 21 19:51:23 +0000 2015	RT @LaurenCowley4: Ever wondered what would challenge you when sequencing #Ebola in the field on a #MinION? Read my blog post http://t.co/v…	
Sun Jun 21 19:51:23 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:51:37 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:51:42 +0000 2015	Kenya reaps big from key role in fight against Ebola http://t.co/seJwp5U6Z8	
Sun Jun 21 19:52:04 +0000 2015	Ebola vaccine trials struggle for answersBlack PressThat means while there may still be time to prove if exper... http://t.co/HPcHBDke6m	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:09 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:15 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:52:20 +0000 2015	Gene mutation in Ebola outbreak provides epidemiological insight - Ars Technica (blog) http://t.co/n8Gdn1xoxi #ebola #EVD	
Sun Jun 21 19:52:29 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:38 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success - http://t.co/cFYmTOZE2y #ebola	
Sun Jun 21 19:52:39 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:52:39 +0000 2015	a tale of nanopores, mosquitos and whatsapp - http://t.co/osjDmucVZS #ebola	
Sun Jun 21 19:52:39 +0000 2015	RT @Independent: Kim Jong-un claims to have cured Aids, Ebola and cancer with single miracle drug http://t.co/oxMnFy88hc http://t.co/pIVRQp…	
Sun Jun 21 19:52:50 +0000 2015	Top #science story: Gene mutation in Ebola outbreak provides epidemiological in… http://t.co/qK2AfMWCqn, see more http://t.co/zYmGuZ3rN9	
Sun Jun 21 19:52:54 +0000 2015	@nico_rosberg Fucking sausage eating twat, I hope you catch ebola	
Sun Jun 21 19:53:03 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:53:04 +0000 2015	Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:53:08 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:53:09 +0000 2015	RT @Independent: Kim Jong-un claims to have cured Aids, Ebola and cancer with single miracle drug http://t.co/oxMnFy88hc http://t.co/pIVRQp…	
Sun Jun 21 19:53:18 +0000 2015	RT @CP24: With new Ebola infections down, vaccine trials fight odds of successhttp://t.co/Ns6A9nl8h1 http://t.co/lrRNVVXZnM	
Sun Jun 21 19:53:26 +0000 2015	RT @Independent: Kim Jong-un claims to have cured Aids, Ebola and cancer with single miracle drug http://t.co/oxMnFy88hc http://t.co/pIVRQp…	
Sun Jun 21 19:53:32 +0000 2015	'Plague Inc.' Has Raised Over $76,000 for Ebola http://t.co/T6u71qR7dm	
Sun Jun 21 19:53:55 +0000 2015	Krijg ebola hoe durf je mensen uit te schelden en hij heeft niks gedaan je bent zielig - ...   http://t.co/BjMoTO7XPc	
Sun Jun 21 19:53:59 +0000 2015	RT @bizzlerauhlollg: 'Tipi di persone su Whatsapp'quelli che inviano catene a go go sono l'ebola, E B O L A.	
Sun Jun 21 19:54:17 +0000 2015	RT @Independent: Kim Jong-un claims to have cured Aids, Ebola and cancer with single miracle drug http://t.co/oxMnFy88hc http://t.co/pIVRQp…	
Sun Jun 21 19:54:24 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:54:57 +0000 2015	RT @GlobalGrind: North Korea claims to have found the cure to HIV, Ebola and more... http://t.co/6ma2H7ba3l	
Sun Jun 21 19:55:07 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success: TORONTO -- New Ebola infections in ... http://t.co/7a1H4Dnzzw	
Sun Jun 21 19:55:12 +0000 2015	RT @Independent: Kim Jong-un claims to have cured Aids, Ebola and cancer with single miracle drug http://t.co/oxMnFy88hc http://t.co/pIVRQp…	
Sun Jun 21 19:55:46 +0000 2015	RT @UKenyatta: I hosted Health workers who are back from the Ebola front-line for breakfast this morning at State House, Nairobi. http://t.…	
Sun Jun 21 19:55:48 +0000 2015	Ever wondered what would challenge you sequencing #Ebola in the field with a #MinION? Read my blog post about it! http://t.co/vNJ4HZjZZF	
Sun Jun 21 19:55:56 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:55:59 +0000 2015	RT @AfricaAgstEbola: Together we can defeat Ebola #Africaagainstebola @EbolaAlert @AmplifiedR  https://t.co/J3PjQnHGyr	
Sun Jun 21 19:56:00 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:56:29 +0000 2015	Genome studies show how Ebola spread initially http://t.co/WLKsmbSIMf	
Sun Jun 21 19:56:32 +0000 2015	wtf can u imagine this girl having her phone on her stomach for bare time like "when do I stop" https://t.co/YbqjDeQybk	
Sun Jun 21 19:57:00 +0000 2015	RT @masesthetics: I'd rather have ebola than a relationship like this 😂 http://t.co/AtphNoLMo3	
Sun Jun 21 19:57:03 +0000 2015	@StockCats haha Ebola made cut.	
Sun Jun 21 19:57:11 +0000 2015	#Ebola #antibiotics Nathalie Huerta's innovative approach to fitness placed a focus on the transgender communi...  http://t.co/Ztbabz7Uwv	
Sun Jun 21 19:57:13 +0000 2015	Cure for #aids and #Ebola u say? Let me know when #northkorea has a cure for bad fashion sense, obesity or #megalomania ,then I might listen	
Sun Jun 21 19:57:24 +0000 2015	RT @UKenyatta: I hosted Health workers who are back from the Ebola front-line for breakfast this morning at State House, Nairobi. http://t.…	
Sun Jun 21 19:57:43 +0000 2015	#Ebola With low numbers of new cases, Ebola vaccine trials fight odds of success - 580 CFRA Radio http://t.co/Sd6IeGCQ46	
Sun Jun 21 19:57:44 +0000 2015	#Ebola With low numbers of new cases, Ebola vaccine trials fight odds of success - 580 CFRA Radio http://t.co/GVZUp5OV0v	
Sun Jun 21 19:57:58 +0000 2015	Kenyan medics return from Ebola mission in West Africa http://t.co/TiapvbtNhb	
Sun Jun 21 19:58:08 +0000 2015	With low numbers of new cases, Ebola vaccine trials fight odds of success: TORONTO -- New Ebola infections in ... http://t.co/eusgxJIEI3	
Sun Jun 21 19:58:11 +0000 2015	Top 5 cities that will be affected by the Ebola virus by ... http://t.co/aOW7W32dUT http://t.co/dboHEVohYS	
Sun Jun 21 19:58:18 +0000 2015	RT @JoseCanseco: This Ebola outbreak is getting worrisome. Check your fevers.	
Sun Jun 21 19:58:27 +0000 2015	RT @ame_pizza: Agora é cada um seguir o seu caminho, ebola pra frente.	
Sun Jun 21 19:58:31 +0000 2015	Last-minute gift for #FathersDay: the pride of saying "my kid is the Advocacy Coordinator - Ebola...http://t.co/Xq1ncn6Bnd #job	
Sun Jun 21 19:59:01 +0000 2015	Gene mutation in Ebola outbreak provides epidemiological insight - Ars Technica (blog): U.S. News &amp; Wor... http://t.co/RlnxDLtTvY #Ebola	
Sun Jun 21 19:59:16 +0000 2015	RT @ComplexMag: North Korea says it has cured AIDS, cancer and ebola:  http://t.co/9hS7AxlADS	
Sun Jun 21 19:59:19 +0000 2015	Ebola vaccine trials fight odds of success: If the case counts in West Africa continue... http://t.co/SZ4AdyK238 #elnuevoparquet.com	
Sun Jun 21 19:59:25 +0000 2015	Its true "@Independent: Kim Jong-un claim to have cured Aids,Ebola, cancer with 1 miracle drug http://t.co/jxN8Yv8pB2 http://t.co/LVoLMTpm0d	
Sun Jun 21 19:59:27 +0000 2015	RT @Independent: Kim Jong-un claims to have cured Aids, Ebola and cancer with single miracle drug http://t.co/oxMnFy88hc http://t.co/pIVRQp…	
Sun Jun 21 19:59:47 +0000 2015	@issy_doughty23 your dirty thirsty hoe and you've got ebola	
Sun Jun 21 19:59:47 +0000 2015	RT @AfricaAgstEbola: Together we can defeat Ebola #Africaagainstebola @EbolaAlert @AmplifiedR  https://t.co/J3PjQnHGyr	
Sun Jun 21 19:59:57 +0000 2015	Genome studies show how Ebola spread initially http://t.co/hCrm5FCGuc	
